GWAS Group,GWAS ID,GWAS Trait,Trait Abbreviation,g:Profiler
Platelets,30080,Platelet count,PLT,
Platelets,30090,Platelet crit,PLTC,
Platelets,30100,Mean platelet volume,MPV,
Platelets,30110,Platelet distribution width,PDW,
Red blood cells,30010,Red blood cell count,RBC,
Red blood cells,30020,Haemoglobin concentration,HGB,
Red blood cells,30030,Haematocrit percentage,HCT,
Red blood cells,30040,Mean corpuscular volume,MCV,
Red blood cells,30050,Mean corpuscular haemoglobin,MCH,
Red blood cells,30060,Mean corpuscular haemoglobin concentration,MCHC,
Red blood cells,30070,Red blood cell distribution width,RBC_W,
Red blood cells,30270,Mean sphered cell volume,MSCV,
Red blood cells,30240,Reticulocyte percentage,RET_P,
Red blood cells,30250,Reticulocyte count,RET,
Red blood cells,30260,Mean reticulocyte volume,MRV,
Red blood cells,30280,Immature reticulocyte fraction,IRF,
Red blood cells,30290,High light scatter reticulocyte percentage,HLSR_P,
Red blood cells,30300,High light scatter reticulocyte count,HLSR,
White blood cells,30000,White blood cell count,WBC,https://biit.cs.ut.ee/gplink/l/jWgRmfj9SM
White blood cells,30120,Lymphocyte count,LYMPH,
White blood cells,30130,Monocyte count,MONO,
White blood cells,30140,Neutrophill count,NEUT,
White blood cells,30150,Eosinophill count,EO,
White blood cells,30160,Basophill count,BASO,
White blood cells,30180,Lymphocyte percentage,LYMPH_P,
White blood cells,30190,Monocyte percentage,MONO_P,
White blood cells,30200,Neutrophill percentage,NEUT_P,
White blood cells,30210,Eosinophill percentage,EO_P,
White blood cells,30220,Basophill percentage,BASO_P,